Tract,County
12001000200,10
12001000301,10
12001000302,10
12001000400,10
12001000500,10
12001000600,10
12001000700,10
12001000806,10
12001000808,10
12001000809,10
12001000901,10
12001000902,10
12001001000,10
12001001100,10
12001001201,10
12001001202,10
12001001203,10
12001001400,10
12001001514,10
12001001515,10
12001001516,10
12001001517,10
12001001519,10
12001001520,10
12001001521,10
12001001603,10
12001001604,10
12001001701,10
12001001702,10
12001001801,10
12001001802,10
12001001803,10
12001001805,10
12001001806,10
12001001811,10
12001001813,10
12001001814,10
12001001902,10
12001001907,10
12001001908,10
12001002000,10
12001002101,10
12001002102,10
12001002201,10
12001002202,10
12001002204,10
12001002205,10
12001002207,10
12001002208,10
12001002209,10
12001002210,10
12001002217,10
12001002218,10
12001002219,10
12001002220,10
12001110800,11
12003040101,30
12003040102,30
12003040201,30
12003040202,30
12005000201,50
12005000202,50
12005000300,50
12005000400,50
12005000500,50
12005000600,50
12005000700,50
12005000803,50
12005000804,50
12005000805,50
12005000806,50
12005000900,50
12005001000,50
12005001100,50
12005001200,50
12005001301,50
12005001302,50
12005001402,50
12005001403,50
12005001404,50
12005001501,50
12005001502,50
12005001600,50
12005001700,50
12005001800,50
12005001900,50
12005002000,50
12005002200,50
12005002300,50
12005002400,50
12005002500,50
12005002601,50
12005002603,50
12005002604,50
12005002605,50
12005002606,50
12005002607,50
12005002608,50
12005002701,50
12005002702,50
12005002703,50
12005002704,50
12005002705,50
12007000100,70
12007000200,70
12007000300,70
12007000400,70
12009060101,90
12009060102,90
12009060200,90
12009060300,90
12009060400,90
12009060500,90
12009060600,90
12009060700,90
12009061001,90
12009061002,90
12009061100,90
12009061201,90
12009061202,90
12009062103,90
12009062104,90
12009062106,90
12009062107,90
12009062108,90
12009062109,90
12009062301,90
12009062302,90
12009062400,90
12009062500,90
12009062600,90
12009062800,90
12009062900,90
12009063000,90
12009063102,90
12009063104,90
12009063105,90
12009063106,90
12009063107,90
12009064102,90
12009064123,90
12009064124,90
12009064125,90
12009064126,90
12009064127,90
12009064128,90
12009064201,90
12009064202,90
12009064301,90
12009064302,90
12009064400,90
12009064500,90
12009064601,90
12009064602,90
12009064700,90
12009064800,90
12009064901,90
12009064902,90
12009065001,90
12009065021,90
12009065022,90
12009065121,90
12009065122,90
12009065123,90
12009065124,90
12009065125,90
12009065201,90
12009065202,90
12009065231,90
12009065234,90
12009065235,90
12009065236,90
12009066101,90
12009066103,90
12009066104,90
12009066200,90
12009066301,90
12009066302,90
12009066400,90
12009066500,90
12009066600,90
12009066700,90
12009066800,90
12009066900,90
12009067100,90
12009068101,90
12009068102,90
12009068200,90
12009068300,90
12009068400,90
12009068501,90
12009068502,90
12009068601,90
12009068602,90
12009069100,90
12009069200,90
12009069300,90
12009069400,90
12009069700,90
12009069801,90
12009069802,90
12009069901,90
12009069902,90
12009071100,90
12009071200,90
12009071301,90
12009071322,90
12009071332,90
12009071334,90
12009071335,90
12009071336,90
12009071337,90
12009071338,90
12009071339,90
12009071340,90
12009071400,90
12009071500,90
12009071600,90
12011010102,110
12011010103,110
12011010104,110
12011010200,110
12011010304,110
12011010305,110
12011010306,110
12011010307,110
12011010308,110
12011010401,110
12011010402,110
12011010403,110
12011010405,110
12011010406,110
12011010407,110
12011010502,110
12011010503,110
12011010504,110
12011010601,110
12011010603,110
12011010604,110
12011010605,110
12011010606,110
12011010607,110
12011010609,110
12011010610,110
12011010611,110
12011010612,110
12011010701,110
12011010702,110
12011010800,110
12011010901,110
12011010902,110
12011011000,110
12011020101,110
12011020103,110
12011020104,110
12011020204,110
12011020205,110
12011020206,110
12011020207,110
12011020209,110
12011020210,110
12011020211,110
12011020212,110
12011020302,110
12011020308,110
12011020309,110
12011020311,110
12011020312,110
12011020313,110
12011020314,110
12011020315,110
12011020316,110
12011020317,110
12011020318,110
12011020319,110
12011020320,110
12011020321,110
12011020322,110
12011020323,110
12011020324,110
12011020325,110
12011020326,110
12011020404,110
12011020405,110
12011020406,110
12011020407,110
12011020409,110
12011020411,110
12011020412,110
12011020413,110
12011020414,110
12011020415,110
12011020501,110
12011020502,110
12011030100,110
12011030201,110
12011030202,110
12011030203,110
12011030301,110
12011030302,110
12011030401,110
12011030402,110
12011030500,110
12011030600,110
12011030702,110
12011030703,110
12011030704,110
12011030705,110
12011030801,110
12011030802,110
12011030902,110
12011030903,110
12011030904,110
12011031001,110
12011031002,110
12011031101,110
12011031102,110
12011031202,110
12011031203,110
12011031204,110
12011031205,110
12011040101,110
12011040102,110
12011040203,110
12011040204,110
12011040205,110
12011040206,110
12011040300,110
12011040401,110
12011040402,110
12011040502,110
12011040503,110
12011040504,110
12011040601,110
12011040602,110
12011040701,110
12011040702,110
12011040801,110
12011040802,110
12011040901,110
12011040902,110
12011041000,110
12011041100,110
12011041200,110
12011041300,110
12011041400,110
12011041500,110
12011041600,110
12011041700,110
12011041801,110
12011041802,110
12011041900,110
12011042000,110
12011042100,110
12011042200,110
12011042301,110
12011042302,110
12011042400,110
12011042500,110
12011042600,110
12011042700,110
12011042800,110
12011042900,110
12011043001,110
12011043002,110
12011043100,110
12011043301,110
12011043302,110
12011050100,110
12011050204,110
12011050205,110
12011050206,110
12011050207,110
12011050208,110
12011050301,110
12011050306,110
12011050307,110
12011050308,110
12011050309,110
12011050310,110
12011050311,110
12011050312,110
12011050401,110
12011050402,110
12011050501,110
12011050502,110
12011050601,110
12011050602,110
12011050701,110
12011050702,110
12011050800,110
12011050900,110
12011051001,110
12011051002,110
12011060105,110
12011060107,110
12011060109,110
12011060111,110
12011060112,110
12011060113,110
12011060114,110
12011060115,110
12011060116,110
12011060117,110
12011060118,110
12011060119,110
12011060120,110
12011060121,110
12011060122,110
12011060123,110
12011060124,110
12011060125,110
12011060126,110
12011060127,110
12011060128,110
12011060203,110
12011060206,110
12011060207,110
12011060208,110
12011060209,110
12011060210,110
12011060211,110
12011060212,110
12011060213,110
12011060302,110
12011060303,110
12011060304,110
12011060305,110
12011060306,110
12011060401,110
12011060402,110
12011060403,110
12011060501,110
12011060503,110
12011060504,110
12011060505,110
12011060603,110
12011060605,110
12011060606,110
12011060607,110
12011060608,110
12011060609,110
12011060700,110
12011060801,110
12011060802,110
12011060900,110
12011061001,110
12011061002,110
12011061100,110
12011070101,110
12011070102,110
12011070204,110
12011070205,110
12011070207,110
12011070208,110
12011070209,110
12011070210,110
12011070211,110
12011070304,110
12011070305,110
12011070306,110
12011070310,110
12011070311,110
12011070312,110
12011070313,110
12011070314,110
12011070315,110
12011070316,110
12011070317,110
12011070318,110
12011070319,110
12011070320,110
12011070321,110
12011070322,110
12011070401,110
12011070402,110
12011070403,110
12011070404,110
12011070405,110
12011070501,110
12011070502,110
12011070601,110
12011070602,110
12011080101,110
12011080102,110
12011080103,110
12011080200,110
12011080402,110
12011080403,110
12011080405,110
12011080406,110
12011080500,110
12011090101,110
12011090102,110
12011090200,110
12011090301,110
12011090302,110
12011090401,110
12011090403,110
12011090404,110
12011090502,110
12011090503,110
12011090504,110
12011090601,110
12011090602,110
12011090700,110
12011090801,110
12011090802,110
12011090900,110
12011091000,110
12011091100,110
12011091201,110
12011091202,110
12011091300,110
12011091400,110
12011091500,110
12011091600,110
12011091701,110
12011091702,110
12011091801,110
12011091802,110
12011091901,110
12011091902,110
12011092000,110
12011100101,111
12011100103,111
12011100104,111
12011100105,111
12011100201,111
12011100202,111
12011100300,111
12011100400,111
12011100501,111
12011100502,111
12011100600,111
12011100700,111
12011100801,111
12011100802,111
12011110100,111
12011110301,111
12011110302,111
12011110303,111
12011110307,111
12011110308,111
12011110309,111
12011110311,111
12011110312,111
12011110313,111
12011110319,111
12011110320,111
12011110321,111
12011110322,111
12011110323,111
12011110324,111
12011110325,111
12011110326,111
12011110327,111
12011110328,111
12011110330,111
12011110331,111
12011110332,111
12011110333,111
12011110334,111
12011110335,111
12011110336,111
12011110337,111
12011110338,111
12011110339,111
12011110340,111
12011110341,111
12011110342,111
12011110343,111
12011110402,111
12011110403,111
12011110404,111
12011110501,111
12011110502,111
12011110600,111
12013010100,130
12013010200,130
12013010300,130
12015010100,150
12015010200,150
12015010301,150
12015010302,150
12015010401,150
12015010402,150
12015010403,150
12015010404,150
12015010501,150
12015010502,150
12015020101,150
12015020103,150
12015020104,150
12015020201,150
12015020202,150
12015020301,150
12015020302,150
12015020303,150
12015020400,150
12015020501,150
12015020502,150
12015020601,150
12015020602,150
12015020700,150
12015020800,150
12015020900,150
12015021001,150
12015021002,150
12015021003,150
12015030100,150
12015030200,150
12015030301,150
12015030302,150
12015030401,150
12015030402,150
12015030501,150
12015030502,150
12015030503,150
12017450101,174
12017450102,174
12017450201,174
12017450202,174
12017450302,174
12017450303,174
12017450304,174
12017450400,174
12017450500,174
12017450601,174
12017450602,174
12017450701,174
12017450702,174
12017450800,174
12017450901,174
12017450902,174
12017451000,174
12017451101,174
12017451102,174
12017451200,174
12017451300,174
12017451400,174
12017451501,174
12017451502,174
12017451601,174
12017451602,174
12017451700,174
12019030102,190
12019030103,190
12019030104,190
12019030201,190
12019030202,190
12019030203,190
12019030301,190
12019030303,190
12019030304,190
12019030400,190
12019030500,190
12019030600,190
12019030701,190
12019030702,190
12019030703,190
12019030801,190
12019030802,190
12019030902,190
12019030903,190
12019030904,190
12019031101,190
12019031104,190
12019031105,190
12019031106,190
12019031107,190
12019031108,190
12019031200,190
12019031300,190
12019031400,190
12019031500,190
12021000101,210
12021000102,210
12021000200,210
12021000301,210
12021000302,210
12021000401,210
12021000402,210
12021000500,210
12021000600,210
12021000700,210
12021010102,210
12021010105,210
12021010106,210
12021010107,210
12021010108,210
12021010109,210
12021010110,210
12021010205,210
12021010208,210
12021010209,210
12021010210,210
12021010211,210
12021010212,210
12021010213,210
12021010215,210
12021010300,210
12021010401,210
12021010405,210
12021010408,210
12021010410,210
12021010411,210
12021010412,210
12021010413,210
12021010414,210
12021010415,210
12021010416,210
12021010417,210
12021010418,210
12021010419,210
12021010420,210
12021010505,210
12021010506,210
12021010507,210
12021010508,210
12021010509,210
12021010510,210
12021010601,210
12021010602,210
12021010604,210
12021010605,210
12021010606,210
12021010701,210
12021010702,210
12021010801,210
12021010802,210
12021010803,210
12021010902,210
12021010903,210
12021010904,210
12021010905,210
12021011001,210
12021011002,210
12021011102,210
12021011103,210
12021011105,210
12021011106,210
12021011201,210
12021011202,210
12021011204,210
12021011205,210
12021011301,210
12021011302,210
12021011400,210
12023110201,231
12023110202,231
12023110300,231
12023110400,231
12023110500,231
12023110601,231
12023110602,231
12023110700,231
12023110800,231
12023110901,231
12023110903,231
12023110904,231
12027010101,270
12027010102,270
12027010200,270
12027010301,270
12027010302,270
12027010403,270
12027010404,270
12027010405,270
12027010406,270
12029970101,299
12029970102,299
12029970200,299
12031000100,310
12031000200,310
12031000300,310
12031000600,310
12031000700,310
12031000800,310
12031001000,310
12031001100,310
12031001200,310
12031001300,310
12031001400,310
12031001500,310
12031001600,310
12031002101,310
12031002102,310
12031002200,310
12031002300,310
12031002400,310
12031002501,310
12031002502,310
12031002600,310
12031002701,310
12031002702,310
12031002801,310
12031002802,310
12031002901,310
12031002902,310
12031010101,310
12031010102,310
12031010103,310
12031010201,310
12031010202,310
12031010301,310
12031010303,310
12031010304,310
12031010401,310
12031010402,310
12031010500,310
12031010600,310
12031010700,310
12031010800,310
12031010900,310
12031011000,310
12031011100,310
12031011200,310
12031011300,310
12031011400,310
12031011500,310
12031011600,310
12031011700,310
12031011800,310
12031011901,310
12031011902,310
12031011903,310
12031012000,310
12031012100,310
12031012200,310
12031012300,310
12031012400,310
12031012500,310
12031012601,310
12031012602,310
12031012702,310
12031012703,310
12031012704,310
12031012800,310
12031012900,310
12031013000,310
12031013100,310
12031013200,310
12031013300,310
12031013402,310
12031013403,310
12031013404,310
12031013502,310
12031013503,310
12031013504,310
12031013521,310
12031013522,310
12031013721,310
12031013723,310
12031013726,310
12031013727,310
12031013800,310
12031013901,310
12031013902,310
12031013904,310
12031013905,310
12031013906,310
12031014001,310
12031014002,310
12031014101,310
12031014102,310
12031014202,310
12031014203,310
12031014204,310
12031014311,310
12031014312,310
12031014326,310
12031014328,310
12031014329,310
12031014330,310
12031014331,310
12031014332,310
12031014333,310
12031014334,310
12031014335,310
12031014336,310
12031014337,310
12031014338,310
12031014401,310
12031014404,310
12031014406,310
12031014408,310
12031014409,310
12031014410,310
12031014411,310
12031014412,310
12031014413,310
12031014500,310
12031014601,310
12031014603,310
12031014604,310
12031014701,310
12031014702,310
12031014800,310
12031014901,310
12031014902,310
12031015001,310
12031015002,310
12031015100,310
12031015200,310
12031015300,310
12031015400,310
12031015501,310
12031015502,310
12031015600,310
12031015700,310
12031015801,310
12031015802,310
12031015922,310
12031015923,310
12031015924,310
12031015925,310
12031015926,310
12031016000,310
12031016100,310
12031016200,310
12031016300,310
12031016400,310
12031016500,310
12031016601,310
12031016603,310
12031016604,310
12031016711,310
12031016722,310
12031016724,310
12031016725,310
12031016726,310
12031016727,310
12031016728,310
12031016729,310
12031016801,310
12031016803,310
12031016804,310
12031016805,310
12031016806,310
12031016807,310
12031016808,310
12031017100,310
12031017200,310
12031017300,310
12031017400,310
12033000100,330
12033000300,330
12033000400,330
12033000500,330
12033000600,330
12033000800,330
12033000900,330
12033001001,330
12033001002,330
12033001101,330
12033001103,330
12033001104,330
12033001201,330
12033001202,330
12033001300,330
12033001401,330
12033001402,330
12033001500,330
12033001600,330
12033001700,330
12033001800,330
12033001900,330
12033002000,330
12033002100,330
12033002200,330
12033002300,330
12033002400,330
12033002500,330
12033002601,330
12033002602,330
12033002603,330
12033002604,330
12033002605,330
12033002701,330
12033002703,330
12033002704,330
12033002801,330
12033002802,330
12033002803,330
12033002804,330
12033002900,330
12033003000,330
12033003100,330
12033003201,330
12033003203,330
12033003204,330
12033003301,330
12033003305,330
12033003306,330
12033003307,330
12033003308,330
12033003309,330
12033003400,330
12033003503,330
12033003505,330
12033003506,330
12033003507,330
12033003508,330
12033003603,330
12033003607,330
12033003608,330
12033003609,330
12033003610,330
12033003611,330
12033003612,330
12033003613,330
12033003614,330
12033003700,330
12033003800,330
12033003900,330
12033004000,330
12035060103,350
12035060104,350
12035060105,350
12035060106,350
12035060107,350
12035060204,350
12035060205,350
12035060206,350
12035060207,350
12035060208,350
12035060209,350
12035060210,350
12035060211,350
12035060212,350
12035060213,350
12035060214,350
12035060301,350
12035060302,350
12035060303,350
12035060304,350
12037970100,379
12037970200,379
12037970302,379
12037970304,379
12039020101,390
12039020102,390
12039020300,390
12039020400,390
12039020500,390
12039020600,390
12039020701,390
12039020702,390
12039020800,390
12041950100,419
12041950201,419
12041950202,419
12041950203,419
12041950204,419
12043000100,430
12043000200,430
12043000300,430
12045960100,459
12045960200,459
12045960300,459
12047960100,479
12047960200,479
12047960300,479
12049970101,499
12049970102,499
12049970201,499
12049970202,499
12049970300,499
12049970400,499
12051000100,510
12051000200,510
12051000300,510
12051000401,510
12051000402,510
12051000600,510
12053040101,530
12053040102,530
12053040201,530
12053040202,530
12053040301,530
12053040302,530
12053040303,530
12053040400,530
12053040501,530
12053040502,530
12053040601,530
12053040602,530
12053040701,530
12053040702,530
12053040801,530
12053040802,530
12053040901,530
12053040905,530
12053040906,530
12053040907,530
12053040908,530
12053040909,530
12053040910,530
12053040911,530
12053041003,530
12053041004,530
12053041005,530
12053041006,530
12053041103,530
12053041104,530
12053041105,530
12053041106,530
12053041201,530
12053041203,530
12053041204,530
12053041302,530
12053041303,530
12053041304,530
12053041305,530
12053041401,530
12053041402,530
12053041501,530
12053041502,530
12053041600,530
12055960101,559
12055960102,559
12055960103,559
12055960200,559
12055960300,559
12055960400,559
12055960501,559
12055960502,559
12055960601,559
12055960602,559
12055960700,559
12055960800,559
12055960900,559
12055961000,559
12055961100,559
12055961200,559
12055961301,559
12055961302,559
12055961400,559
12055961500,559
12055961601,559
12055961602,559
12055961603,559
12055961700,559
12057000101,570
12057000102,570
12057000201,570
12057000202,570
12057000300,570
12057000401,570
12057000402,570
12057000500,570
12057000601,570
12057000602,570
12057000700,570
12057000800,570
12057000901,570
12057000902,570
12057001001,570
12057001002,570
12057001100,570
12057001200,570
12057001300,570
12057001400,570
12057001500,570
12057001600,570
12057001700,570
12057001800,570
12057001900,570
12057002000,570
12057002100,570
12057002200,570
12057002300,570
12057002400,570
12057002500,570
12057002600,570
12057002700,570
12057002800,570
12057002900,570
12057003000,570
12057003100,570
12057003200,570
12057003300,570
12057003400,570
12057003500,570
12057003600,570
12057003700,570
12057003800,570
12057003900,570
12057004000,570
12057004100,570
12057004200,570
12057004300,570
12057004400,570
12057004500,570
12057004600,570
12057004700,570
12057004800,570
12057004900,570
12057005000,570
12057005101,570
12057005102,570
12057005301,570
12057005302,570
12057005401,570
12057005500,570
12057005700,570
12057005800,570
12057005900,570
12057006000,570
12057006101,570
12057006103,570
12057006200,570
12057006300,570
12057006400,570
12057006501,570
12057006502,570
12057006600,570
12057006700,570
12057006801,570
12057006802,570
12057006900,570
12057007001,570
12057007002,570
12057007102,570
12057007103,570
12057007200,570
12057007300,570
12057010103,570
12057010105,570
12057010106,570
12057010107,570
12057010108,570
12057010203,570
12057010204,570
12057010205,570
12057010209,570
12057010210,570
12057010211,570
12057010212,570
12057010213,570
12057010214,570
12057010303,570
12057010304,570
12057010305,570
12057010401,570
12057010402,570
12057010501,570
12057010502,570
12057010600,570
12057010701,570
12057010702,570
12057010805,570
12057010808,570
12057010809,570
12057010810,570
12057010811,570
12057010812,570
12057010813,570
12057010814,570
12057010815,570
12057010816,570
12057010817,570
12057010818,570
12057010900,570
12057011003,570
12057011005,570
12057011006,570
12057011007,570
12057011008,570
12057011010,570
12057011012,570
12057011013,570
12057011014,570
12057011015,570
12057011016,570
12057011103,570
12057011106,570
12057011107,570
12057011108,570
12057011109,570
12057011203,570
12057011204,570
12057011205,570
12057011206,570
12057011301,570
12057011303,570
12057011304,570
12057011407,570
12057011408,570
12057011409,570
12057011410,570
12057011411,570
12057011412,570
12057011413,570
12057011414,570
12057011415,570
12057011416,570
12057011417,570
12057011418,570
12057011504,570
12057011506,570
12057011507,570
12057011509,570
12057011510,570
12057011512,570
12057011514,570
12057011515,570
12057011516,570
12057011517,570
12057011518,570
12057011519,570
12057011520,570
12057011521,570
12057011522,570
12057011523,570
12057011524,570
12057011603,570
12057011605,570
12057011606,570
12057011607,570
12057011608,570
12057011610,570
12057011611,570
12057011612,570
12057011613,570
12057011614,570
12057011615,570
12057011706,570
12057011708,570
12057011709,570
12057011710,570
12057011712,570
12057011802,570
12057011803,570
12057011804,570
12057011901,570
12057011902,570
12057011904,570
12057011905,570
12057011906,570
12057012001,570
12057012002,570
12057012103,570
12057012104,570
12057012106,570
12057012107,570
12057012108,570
12057012206,570
12057012207,570
12057012208,570
12057012209,570
12057012210,570
12057012211,570
12057012212,570
12057012213,570
12057012301,570
12057012303,570
12057012304,570
12057012401,570
12057012402,570
12057012403,570
12057012501,570
12057012503,570
12057012504,570
12057012600,570
12057012701,570
12057012702,570
12057012800,570
12057012900,570
12057013001,570
12057013002,570
12057013003,570
12057013004,570
12057013100,570
12057013203,570
12057013204,570
12057013205,570
12057013206,570
12057013207,570
12057013208,570
12057013305,570
12057013307,570
12057013310,570
