State,Tract,Total Population
FL,12001000200,6834
FL,12001000301,3849
FL,12001000302,2374
FL,12001000400,5996
FL,12001000500,5202
FL,12001000600,4689
FL,12001000700,6212
FL,12001000806,2043
FL,12001000808,3466
FL,12001000809,1215
FL,12001000901,5093
FL,12001000902,6634
FL,12001001000,5777
FL,12001001100,6952
FL,12001001201,3531
FL,12001001202,6898
FL,12001001203,3481
FL,12001001400,4389
FL,12001001514,1549
FL,12001001515,5174
FL,12001001516,2005
FL,12001001517,5435
FL,12001001519,2742
FL,12001001520,2282
FL,12001001521,4431
FL,12001001603,1493
FL,12001001604,8042
FL,12001001701,5944
FL,12001001702,5244
FL,12001001801,7718
FL,12001001802,2493
FL,12001001803,6076
FL,12001001805,1493
FL,12001001806,9348
FL,12001001811,6966
FL,12001001813,3309
FL,12001001814,2873
FL,12001001902,3103
FL,12001001907,2844
FL,12001001908,4192
FL,12001002000,6005
FL,12001002101,2163
FL,12001002102,876
FL,12001002201,4972
FL,12001002202,5806
FL,12001002204,11270
FL,12001002205,10684
FL,12001002207,3389
FL,12001002208,2467
FL,12001002209,8528
FL,12001002210,4977
FL,12001002217,5870
FL,12001002218,2350
FL,12001002219,6947
FL,12001002220,2152
FL,12001110800,2018
FL,12003040101,6961
FL,12003040102,7531
FL,12003040201,7384
FL,12003040202,5661
FL,12005000201,5327
FL,12005000202,5814
FL,12005000300,7419
FL,12005000400,9049
FL,12005000500,6037
FL,12005000600,1477
FL,12005000700,3557
FL,12005000803,5540
FL,12005000804,2093
FL,12005000805,4577
FL,12005000806,4106
FL,12005000900,4549
FL,12005001000,2361
FL,12005001100,4586
FL,12005001200,3496
FL,12005001301,5523
FL,12005001302,7214
FL,12005001402,7857
FL,12005001403,2056
FL,12005001404,7377
FL,12005001501,5718
FL,12005001502,6025
FL,12005001600,3651
FL,12005001700,2971
FL,12005001800,1839
FL,12005001900,4805
FL,12005002000,1438
FL,12005002200,4828
FL,12005002300,3828
FL,12005002400,4212
FL,12005002500,3208
FL,12005002601,2440
FL,12005002603,2751
FL,12005002604,8146
FL,12005002605,1112
FL,12005002606,1492
FL,12005002607,1115
FL,12005002608,2757
FL,12005002701,4508
FL,12005002702,2467
FL,12005002703,3090
FL,12005002704,5468
FL,12005002705,2233
FL,12005990000,0
FL,12007000100,5585
FL,12007000200,8520
FL,12007000300,7136
FL,12007000400,5534
FL,12009060101,3734
FL,12009060102,3122
FL,12009060200,5867
FL,12009060300,5036
FL,12009060400,4115
FL,12009060500,4497
FL,12009060600,5415
FL,12009060700,2555
FL,12009061001,4216
FL,12009061002,3329
FL,12009061100,6117
FL,12009061201,7376
FL,12009061202,3414
FL,12009062103,7736
FL,12009062104,7728
FL,12009062106,3216
FL,12009062107,3068
FL,12009062108,6031
FL,12009062109,4408
FL,12009062301,3767
FL,12009062302,3336
FL,12009062400,7067
FL,12009062500,4631
FL,12009062600,3247
FL,12009062800,3938
FL,12009062900,4960
FL,12009063000,4406
FL,12009063102,8463
FL,12009063104,3667
FL,12009063105,9378
FL,12009063106,4084
FL,12009063107,11093
FL,12009064102,4629
FL,12009064123,5990
FL,12009064124,4564
FL,12009064125,5991
FL,12009064126,4341
FL,12009064127,7608
FL,12009064128,12827
FL,12009064201,2064
FL,12009064202,3022
FL,12009064301,6174
FL,12009064302,6894
FL,12009064400,4857
FL,12009064500,4445
FL,12009064601,6994
FL,12009064602,2629
FL,12009064700,4063
FL,12009064800,2879
FL,12009064901,6529
FL,12009064902,3661
FL,12009065001,3238
FL,12009065021,11668
FL,12009065022,5238
FL,12009065121,6809
FL,12009065122,7090
FL,12009065123,3761
FL,12009065124,2642
FL,12009065125,6026
FL,12009065201,6008
FL,12009065202,4907
FL,12009065231,5753
FL,12009065234,3890
FL,12009065235,5010
FL,12009065236,1492
FL,12009066101,4441
FL,12009066103,1945
FL,12009066104,4748
FL,12009066200,2676
FL,12009066301,6724
FL,12009066302,4580
FL,12009066400,4729
FL,12009066500,3774
FL,12009066600,4173
FL,12009066700,4918
FL,12009066800,1726
FL,12009066900,6810
FL,12009067100,1442
FL,12009068101,2045
FL,12009068102,3349
FL,12009068200,2989
FL,12009068300,2647
FL,12009068400,2139
FL,12009068501,2610
FL,12009068502,2386
FL,12009068601,1957
FL,12009068602,4067
FL,12009069100,4604
FL,12009069200,2599
FL,12009069300,3153
FL,12009069400,6421
FL,12009069700,2599
FL,12009069801,3599
FL,12009069802,4769
FL,12009069901,7797
FL,12009069902,4441
FL,12009071100,4118
FL,12009071200,16127
FL,12009071301,4942
FL,12009071322,9593
FL,12009071332,14087
FL,12009071334,8729
FL,12009071335,4515
FL,12009071336,6491
FL,12009071337,7918
FL,12009071338,8942
FL,12009071339,6989
FL,12009071340,12266
FL,12009071400,3374
FL,12009071500,2330
FL,12009071600,4195
FL,12009980000,0
FL,12009980100,0
FL,12009990000,0
FL,12011010102,2967
FL,12011010103,3048
FL,12011010104,2153
FL,12011010200,6229
FL,12011010304,4341
FL,12011010305,4393
FL,12011010306,2610
FL,12011010307,4096
FL,12011010308,4930
FL,12011010401,5015
FL,12011010402,3158
FL,12011010403,4674
FL,12011010405,7202
FL,12011010406,4175
FL,12011010407,5210
FL,12011010502,4017
FL,12011010503,15127
FL,12011010504,6886
FL,12011010601,9147
FL,12011010603,5651
FL,12011010604,4742
FL,12011010605,7305
FL,12011010606,7651
FL,12011010607,10533
FL,12011010609,4222
FL,12011010610,6731
FL,12011010611,4330
FL,12011010612,6098
FL,12011010701,6306
FL,12011010702,9957
FL,12011010800,7811
FL,12011010901,2581
FL,12011010902,2868
FL,12011011000,1465
FL,12011020101,8368
FL,12011020103,5873
FL,12011020104,2888
FL,12011020204,5718
FL,12011020205,6377
FL,12011020206,4583
FL,12011020207,5826
FL,12011020209,2637
FL,12011020210,6843
FL,12011020211,2639
FL,12011020212,3196
FL,12011020302,7397
FL,12011020308,6403
FL,12011020309,6281
FL,12011020311,3255
FL,12011020312,5391
FL,12011020313,6359
FL,12011020314,5274
FL,12011020315,5234
FL,12011020316,3924
FL,12011020317,3375
FL,12011020318,9384
FL,12011020319,6489
FL,12011020320,5373
FL,12011020321,1882
FL,12011020322,3025
FL,12011020323,3792
FL,12011020324,6462
FL,12011020325,3175
FL,12011020326,6663
FL,12011020404,8620
FL,12011020405,5020
FL,12011020406,7896
FL,12011020407,7612
FL,12011020409,7446
FL,12011020411,7497
FL,12011020412,3530
FL,12011020413,7550
FL,12011020414,4355
FL,12011020415,4358
FL,12011020501,5764
FL,12011020502,7337
FL,12011030100,4597
FL,12011030201,4223
FL,12011030202,1608
FL,12011030203,4596
FL,12011030301,3224
FL,12011030302,8602
FL,12011030401,3814
FL,12011030402,3788
FL,12011030500,5445
FL,12011030600,8347
FL,12011030702,3413
FL,12011030703,4317
FL,12011030704,5095
FL,12011030705,4312
FL,12011030801,8879
FL,12011030802,6714
FL,12011030902,3023
FL,12011030903,4204
FL,12011030904,4455
FL,12011031001,2325
FL,12011031002,4342
FL,12011031101,2317
FL,12011031102,3251
FL,12011031202,5980
FL,12011031203,982
FL,12011031204,2701
FL,12011031205,1524
FL,12011040101,1495
FL,12011040102,2848
FL,12011040203,1597
FL,12011040204,2484
FL,12011040205,5473
FL,12011040206,2292
FL,12011040300,4419
FL,12011040401,2305
FL,12011040402,2879
FL,12011040502,2998
FL,12011040503,2087
FL,12011040504,3014
FL,12011040601,3457
FL,12011040602,2930
FL,12011040701,2487
FL,12011040702,4330
FL,12011040801,5716
FL,12011040802,4638
FL,12011040901,5415
FL,12011040902,3861
FL,12011041000,3380
FL,12011041100,4770
FL,12011041200,4697
FL,12011041300,8563
FL,12011041400,3348
FL,12011041500,3952
FL,12011041600,6259
FL,12011041700,4425
FL,12011041801,1866
FL,12011041802,3391
FL,12011041900,3177
FL,12011042000,3127
FL,12011042100,2188
FL,12011042200,2670
FL,12011042301,3505
FL,12011042302,1277
FL,12011042400,1383
FL,12011042500,6724
FL,12011042600,5902
FL,12011042700,5107
FL,12011042800,7885
FL,12011042900,9601
FL,12011043001,1462
FL,12011043002,7868
FL,12011043100,4734
FL,12011043301,5120
FL,12011043302,2280
FL,12011050100,4700
FL,12011050204,5801
FL,12011050205,2758
FL,12011050206,3516
FL,12011050207,7152
FL,12011050208,4823
FL,12011050301,9465
FL,12011050306,4156
FL,12011050307,7226
FL,12011050308,2970
FL,12011050309,2185
FL,12011050310,5754
FL,12011050311,3319
FL,12011050312,2134
FL,12011050401,4235
FL,12011050402,4256
FL,12011050501,3915
FL,12011050502,4968
FL,12011050601,3543
FL,12011050602,3568
FL,12011050701,3851
FL,12011050702,5809
FL,12011050800,5095
FL,12011050900,6110
FL,12011051001,3472
FL,12011051002,2855
FL,12011060105,6786
FL,12011060107,3334
FL,12011060109,2833
FL,12011060111,5825
FL,12011060112,6982
FL,12011060113,6208
FL,12011060114,6525
FL,12011060115,7272
FL,12011060116,7671
FL,12011060117,6587
FL,12011060118,4760
FL,12011060119,6012
FL,12011060120,8104
FL,12011060121,5518
FL,12011060122,5016
FL,12011060123,3068
FL,12011060124,5680
FL,12011060125,2449
FL,12011060126,5261
FL,12011060127,3043
FL,12011060128,5719
FL,12011060203,6480
FL,12011060206,4839
FL,12011060207,3456
FL,12011060208,6318
FL,12011060209,2980
FL,12011060210,3400
FL,12011060211,4000
FL,12011060212,3316
FL,12011060213,4522
FL,12011060302,7181
FL,12011060303,6979
FL,12011060304,3713
FL,12011060305,2270
FL,12011060306,1870
FL,12011060401,4780
FL,12011060402,6732
FL,12011060403,5415
FL,12011060501,7416
FL,12011060503,4768
FL,12011060504,4720
FL,12011060505,4872
FL,12011060603,4935
FL,12011060605,3782
FL,12011060606,5564
FL,12011060607,3124
FL,12011060608,6715
FL,12011060609,3297
FL,12011060700,3182
FL,12011060801,1969
FL,12011060802,6850
FL,12011060900,4294
FL,12011061001,6566
FL,12011061002,9767
FL,12011061100,8197
FL,12011070101,9230
FL,12011070102,1261
FL,12011070204,5866
FL,12011070205,6441
FL,12011070207,6597
FL,12011070208,8036
FL,12011070209,5114
FL,12011070210,3579
FL,12011070211,6159
FL,12011070304,7833
FL,12011070305,8130
FL,12011070306,7796
FL,12011070310,3162
FL,12011070311,6614
FL,12011070312,7372
FL,12011070313,11092
FL,12011070314,5010
FL,12011070315,5976
FL,12011070316,5291
FL,12011070317,15395
FL,12011070318,6623
FL,12011070319,4738
FL,12011070320,7813
FL,12011070321,2852
FL,12011070322,7549
FL,12011070401,7219
FL,12011070402,3102
FL,12011070403,5523
FL,12011070404,3580
FL,12011070405,5651
FL,12011070501,5880
FL,12011070502,12140
FL,12011070601,5431
FL,12011070602,4849
FL,12011080101,5219
FL,12011080102,4974
FL,12011080103,1535
FL,12011080200,973
FL,12011080402,2519
FL,12011080403,6549
FL,12011080405,2863
FL,12011080406,5633
FL,12011080500,7777
FL,12011090101,5480
FL,12011090102,1842
FL,12011090200,4092
FL,12011090301,2608
FL,12011090302,7119
FL,12011090401,4325
FL,12011090403,3345
FL,12011090404,5265
FL,12011090502,6970
FL,12011090503,2582
FL,12011090504,2910
FL,12011090601,3030
FL,12011090602,6732
FL,12011090700,7386
FL,12011090801,4134
FL,12011090802,4282
FL,12011090900,5670
FL,12011091000,4183
FL,12011091100,7083
FL,12011091201,5181
FL,12011091202,5881
FL,12011091300,4361
FL,12011091400,6417
FL,12011091500,5599
FL,12011091600,5703
FL,12011091701,4104
FL,12011091702,4504
FL,12011091801,6423
FL,12011091802,3372
FL,12011091901,3690
FL,12011091902,4609
FL,12011092000,4076
FL,12011100101,7553
FL,12011100103,3358
FL,12011100104,2544
FL,12011100105,2967
FL,12011100201,1699
FL,12011100202,5166
FL,12011100300,7090
FL,12011100400,6163
FL,12011100501,968
FL,12011100502,3537
FL,12011100600,5577
FL,12011100700,4981
FL,12011100801,3654
FL,12011100802,9133
FL,12011110100,7335
FL,12011110301,6368
FL,12011110302,9307
FL,12011110303,4257
FL,12011110307,5920
FL,12011110308,6883
FL,12011110309,6478
FL,12011110311,6860
FL,12011110312,7756
FL,12011110313,6569
FL,12011110319,6428
FL,12011110320,12138
FL,12011110321,5665
FL,12011110322,11527
FL,12011110323,6791
FL,12011110324,16925
FL,12011110325,22872
FL,12011110326,5032
FL,12011110327,7047
FL,12011110328,4885
FL,12011110330,3954
FL,12011110331,11101
FL,12011110332,5397
FL,12011110333,7442
FL,12011110334,2579
FL,12011110335,8719
FL,12011110336,8219
FL,12011110337,6413
FL,12011110338,3952
FL,12011110339,3978
FL,12011110340,7141
FL,12011110341,4153
FL,12011110342,13448
FL,12011110343,8575
FL,12011110402,5147
FL,12011110403,5761
FL,12011110404,7302
FL,12011110501,3688
FL,12011110502,5831
FL,12011110600,5557
FL,12011980000,0
FL,12011990000,0
FL,12013010100,2363
FL,12013010200,3635
FL,12013010300,8460
FL,12015010100,5072
FL,12015010200,4613
FL,12015010301,3134
FL,12015010302,3844
FL,12015010401,3045
FL,12015010402,2267
FL,12015010403,2010
FL,12015010404,4775
FL,12015010501,5405
FL,12015010502,7644
FL,12015020101,7284
FL,12015020103,6123
FL,12015020104,2643
FL,12015020201,8253
FL,12015020202,7278
FL,12015020301,5473
FL,12015020302,4140
FL,12015020303,4822
FL,12015020400,8756
FL,12015020501,4611
FL,12015020502,1670
FL,12015020601,2753
FL,12015020602,3334
FL,12015020700,4569
FL,12015020800,4764
FL,12015020900,7204
FL,12015021001,1696
FL,12015021002,3306
FL,12015021003,3281
FL,12015030100,6374
FL,12015030200,7686
FL,12015030301,2515
FL,12015030302,3596
FL,12015030401,2179
FL,12015030402,2033
FL,12015030501,3731
FL,12015030502,5569
FL,12015030503,5784
FL,12015990000,0
FL,12017450101,6399
FL,12017450102,3657
FL,12017450201,3927
FL,12017450202,5217
FL,12017450302,9011
FL,12017450303,5963
FL,12017450304,10404
FL,12017450400,5943
FL,12017450500,4135
FL,12017450601,4760
FL,12017450602,4322
FL,12017450701,7159
FL,12017450702,8463
FL,12017450800,4451
FL,12017450901,2998
FL,12017450902,2673
FL,12017451000,5971
FL,12017451101,2360
FL,12017451102,5916
FL,12017451200,3899
FL,12017451300,3083
FL,12017451400,5380
FL,12017451501,2852
FL,12017451502,6753
FL,12017451601,5544
FL,12017451602,6166
FL,12017451700,3967
FL,12017990000,0
FL,12019030102,8033
FL,12019030103,5357
FL,12019030104,3430
FL,12019030201,18400
FL,12019030202,8832
FL,12019030203,17952
FL,12019030301,8648
FL,12019030303,3094
FL,12019030304,4270
FL,12019030400,2240
FL,12019030500,2828
FL,12019030600,4567
FL,12019030701,8024
FL,12019030702,14957
FL,12019030703,12330
FL,12019030801,5875
FL,12019030802,6622
FL,12019030902,10011
FL,12019030903,4225
FL,12019030904,6711
FL,12019031101,3405
FL,12019031104,3629
FL,12019031105,2106
FL,12019031106,6793
FL,12019031107,388
FL,12019031108,1420
FL,12019031200,14944
FL,12019031300,6236
FL,12019031400,5077
FL,12019031500,2887
FL,12021000101,1360
FL,12021000102,1352
FL,12021000200,2241
FL,12021000301,3242
FL,12021000302,1689
FL,12021000401,2633
FL,12021000402,1904
FL,12021000500,1706
FL,12021000600,1320
FL,12021000700,1659
FL,12021010102,6165
FL,12021010105,4509
FL,12021010106,4336
FL,12021010107,4308
FL,12021010108,3593
FL,12021010109,2228
FL,12021010110,4440
FL,12021010205,2617
FL,12021010208,3050
FL,12021010209,2149
FL,12021010210,3577
FL,12021010211,1862
FL,12021010212,6048
FL,12021010213,4166
FL,12021010215,2762
FL,12021010300,4333
FL,12021010401,4650
FL,12021010405,12495
FL,12021010408,3118
FL,12021010410,10027
FL,12021010411,8250
FL,12021010412,9184
FL,12021010413,7925
FL,12021010414,7489
FL,12021010415,16782
FL,12021010416,6338
FL,12021010417,5168
FL,12021010418,6055
FL,12021010419,4012
FL,12021010420,7552
FL,12021010505,7187
FL,12021010506,5617
FL,12021010507,4222
FL,12021010508,3868
FL,12021010509,5605
FL,12021010510,3089
FL,12021010601,2794
FL,12021010602,3482
FL,12021010604,3311
FL,12021010605,3289
FL,12021010606,2626
FL,12021010701,4154
FL,12021010702,3278
FL,12021010801,3808
FL,12021010802,11456
FL,12021010803,4338
FL,12021010902,3621
FL,12021010903,5381
FL,12021010904,1701
FL,12021010905,3263
FL,12021011001,1594
FL,12021011002,2198
FL,12021011102,9288
FL,12021011103,2502
FL,12021011105,2849
FL,12021011106,3329
FL,12021011201,9270
FL,12021011202,25444
FL,12021011204,4315
FL,12021011205,2778
FL,12021011301,6730
FL,12021011302,6783
FL,12021011400,5310
FL,12021990000,0
FL,12023110201,4309
FL,12023110202,5692
FL,12023110300,9210
FL,12023110400,2844
FL,12023110500,7177
FL,12023110601,8614
FL,12023110602,4873
FL,12023110700,4569
FL,12023110800,5539
FL,12023110901,5673
FL,12023110903,4070
FL,12023110904,5914
FL,12027010101,4141
FL,12027010102,4556
FL,12027010200,5407
FL,12027010301,7459
FL,12027010302,2267
FL,12027010403,3336
FL,12027010404,3554
FL,12027010405,1237
FL,12027010406,3718
FL,12029970101,5100
FL,12029970102,6986
FL,12029970200,4237
FL,12029990000,0
FL,12031000100,5725
FL,12031000200,2693
FL,12031000300,2197
FL,12031000600,5947
FL,12031000700,3995
FL,12031000800,2779
FL,12031001000,4418
FL,12031001100,1909
FL,12031001200,2133
FL,12031001300,3774
FL,12031001400,5296
FL,12031001500,4205
FL,12031001600,1326
FL,12031002101,2969
FL,12031002102,2769
FL,12031002200,4246
FL,12031002300,1724
FL,12031002400,1854
FL,12031002501,3670
FL,12031002502,3727
FL,12031002600,3433
FL,12031002701,3673
FL,12031002702,3786
FL,12031002801,4653
FL,12031002802,4332
FL,12031002901,3506
FL,12031002902,3230
FL,12031010101,6905
FL,12031010102,10152
FL,12031010103,6338
FL,12031010201,10178
FL,12031010202,3323
FL,12031010301,4959
FL,12031010303,7472
FL,12031010304,7755
FL,12031010401,3540
FL,12031010402,4222
FL,12031010500,16223
FL,12031010600,5790
FL,12031010700,5416
FL,12031010800,5356
FL,12031010900,3394
FL,12031011000,4180
FL,12031011100,3334
FL,12031011200,2718
FL,12031011300,3323
FL,12031011400,2192
FL,12031011500,4711
FL,12031011600,3911
FL,12031011700,3023
FL,12031011800,2924
FL,12031011901,7466
FL,12031011902,11115
FL,12031011903,5175
FL,12031012000,4803
FL,12031012100,1769
FL,12031012200,7369
FL,12031012300,3615
FL,12031012400,2855
FL,12031012500,4163
FL,12031012601,2710
FL,12031012602,5546
FL,12031012702,5485
FL,12031012703,5636
FL,12031012704,5633
FL,12031012800,7287
FL,12031012900,2916
FL,12031013000,2461
FL,12031013100,2141
FL,12031013200,2941
FL,12031013300,7625
FL,12031013402,5152
FL,12031013403,3127
FL,12031013404,3193
FL,12031013502,3571
FL,12031013503,9129
FL,12031013504,6195
FL,12031013521,11806
FL,12031013522,3947
FL,12031013721,11108
FL,12031013723,7406
FL,12031013726,8487
FL,12031013727,7810
FL,12031013800,3547
FL,12031013901,6025
FL,12031013902,5359
FL,12031013904,4198
FL,12031013905,4238
FL,12031013906,4294
FL,12031014001,4626
FL,12031014002,2404
FL,12031014101,4651
FL,12031014102,3729
FL,12031014202,4466
FL,12031014203,4792
FL,12031014204,5195
FL,12031014311,5156
FL,12031014312,7191
FL,12031014326,7217
FL,12031014328,6990
FL,12031014329,3171
FL,12031014330,4706
FL,12031014331,4862
FL,12031014332,7989
FL,12031014333,3390
FL,12031014334,5112
FL,12031014335,8462
FL,12031014336,6897
FL,12031014337,10301
FL,12031014338,4530
FL,12031014401,14249
FL,12031014404,8702
FL,12031014406,7480
FL,12031014408,4101
FL,12031014409,11280
FL,12031014410,7437
FL,12031014411,8084
FL,12031014412,16925
FL,12031014413,5244
FL,12031014500,4012
FL,12031014601,5777
FL,12031014603,4888
FL,12031014604,4904
FL,12031014701,8114
FL,12031014702,2975
FL,12031014800,4755
FL,12031014901,5935
FL,12031014902,6739
FL,12031015001,5400
FL,12031015002,4152
FL,12031015100,4315
FL,12031015200,3177
FL,12031015300,3024
FL,12031015400,2370
FL,12031015501,3281
FL,12031015502,4922
FL,12031015600,4107
FL,12031015700,5175
FL,12031015801,6595
FL,12031015802,7568
FL,12031015922,3170
FL,12031015923,9861
FL,12031015924,5046
FL,12031015925,5582
FL,12031015926,6090
FL,12031016000,7683
FL,12031016100,7838
FL,12031016200,2081
FL,12031016300,2445
FL,12031016400,5998
FL,12031016500,5082
FL,12031016601,5737
FL,12031016603,3297
FL,12031016604,4702
FL,12031016711,4132
FL,12031016722,7543
FL,12031016724,5355
FL,12031016725,3987
FL,12031016726,4087
FL,12031016727,3170
FL,12031016728,4710
FL,12031016729,6552
FL,12031016801,2392
FL,12031016803,6546
FL,12031016804,7550
FL,12031016805,7715
FL,12031016806,13694
FL,12031016807,4216
FL,12031016808,3667
FL,12031017100,5938
FL,12031017200,2060
FL,12031017300,7444
FL,12031017400,2538
FL,12031990000,0
FL,12033000100,1451
FL,12033000300,2320
FL,12033000400,3306
FL,12033000500,1281
FL,12033000600,1633
FL,12033000800,4507
FL,12033000900,2509
FL,12033001001,5738
FL,12033001002,3214
FL,12033001101,5424
FL,12033001103,2585
FL,12033001104,6789
FL,12033001201,4805
FL,12033001202,4825
FL,12033001300,4991
FL,12033001401,5577
FL,12033001402,7592
FL,12033001500,1419
FL,12033001600,3175
FL,12033001700,2357
FL,12033001800,2399
FL,12033001900,2003
FL,12033002000,1944
FL,12033002100,4292
FL,12033002200,3568
FL,12033002300,4359
FL,12033002400,6288
FL,12033002500,2903
FL,12033002601,3251
FL,12033002602,1435
FL,12033002603,8741
FL,12033002604,4455
FL,12033002605,5679
FL,12033002701,3242
FL,12033002703,2409
FL,12033002704,5413
FL,12033002801,3001
FL,12033002802,4858
FL,12033002803,3186
FL,12033002804,3764
FL,12033002900,4490
FL,12033003000,5868
FL,12033003100,4691
FL,12033003201,4730
FL,12033003203,4981
FL,12033003204,3123
FL,12033003301,4290
FL,12033003305,2613
FL,12033003306,5832
FL,12033003307,2462
FL,12033003308,3911
FL,12033003309,6506
FL,12033003400,5158
FL,12033003503,7286
FL,12033003505,4711
FL,12033003506,5229
FL,12033003507,7201
FL,12033003508,7462
FL,12033003603,8165
FL,12033003607,3272
FL,12033003608,8143
FL,12033003609,3581
FL,12033003610,6745
FL,12033003611,5167
FL,12033003612,4756
FL,12033003613,3675
FL,12033003614,6607
FL,12033003700,3922
FL,12033003800,4141
FL,12033003900,4008
FL,12033004000,4510
FL,12033990000,0
FL,12035060103,2182
FL,12035060104,4469
FL,12035060105,4117
FL,12035060106,2765
FL,12035060107,5110
FL,12035060204,8127
FL,12035060205,7872
FL,12035060206,4820
FL,12035060207,5229
FL,12035060208,6969
FL,12035060209,7392
FL,12035060210,4398
FL,12035060211,6741
FL,12035060212,5956
FL,12035060213,6170
FL,12035060214,8105
FL,12035060301,5466
FL,12035060302,3631
FL,12035060303,2666
FL,12035060304,2830
FL,12035990000,0
FL,12037970100,4199
FL,12037970200,2982
FL,12037970302,2709
FL,12037970304,1785
FL,12037990000,0
FL,12037990100,0
FL,12039020101,4240
FL,12039020102,5421
FL,12039020300,5167
